batch_size,learning_rate,max_length,epochs,genre_threshold,keyword_threshold,genre_f1_micro,genre_f1_macro,keyword_f1_micro,keyword_f1_macro,mean_f1_micro
8,2e-05,128,3,0.3,0.4,0.29984051036682613,0.2825427027129963,0.06853707414829659,0.06956756465697601,0.18418879225756135
8,2e-05,128,3,0.3,0.5,0.2974683544303797,0.2799079607727842,0.07782426778242678,0.07627987242150773,0.18764631110640326
8,2e-05,128,3,0.35,0.4,0.3178206583427923,0.2969569857865854,0.07156153050672182,0.07277509700634804,0.19469109442475704
8,2e-05,128,3,0.35,0.5,0.3253364540667057,0.30017691731613005,0.08094302554027505,0.0821514856163112,0.20313973980349037
8,2e-05,256,3,0.3,0.4,0.3002136752136752,0.2809450420098653,0.06847697756788666,0.06845501712959924,0.18434532639078094
8,2e-05,256,3,0.3,0.5,0.30069555912252544,0.28227328498257587,0.07150755621083671,0.0696516366344748,0.18610155766668107
8,2e-05,256,3,0.35,0.4,0.3128868880135059,0.29027293122281717,0.06995551961180752,0.06871059843424585,0.1914212038126567
8,2e-05,256,3,0.35,0.5,0.31507622811970637,0.30032069867617606,0.08904374758033294,0.08605257238500334,0.20205998785001966
8,3e-05,128,3,0.3,0.4,0.33492252681764006,0.31376544674044665,0.07487768559880877,0.07619173584880855,0.2049001062082244
8,3e-05,128,3,0.3,0.5,0.33055885850178357,0.3159856933310603,0.09824561403508772,0.10356181067717926,0.21440223626843563
8,3e-05,128,3,0.35,0.4,0.3610573823339781,0.3394359855245323,0.07526647813791604,0.07839909321155868,0.21816193023594707
8,3e-05,128,3,0.35,0.5,0.4059925093632959,0.38210373827404404,0.10745233968804159,0.10643106449131466,0.25672242452566874
8,3e-05,256,3,0.3,0.4,0.3393939393939394,0.32271681888796694,0.07383419689119171,0.08130325598267434,0.20661406814256555
8,3e-05,256,3,0.3,0.5,0.3472829481574016,0.32954355562604465,0.09441738478831023,0.10327483992015966,0.22085016647285594
8,3e-05,256,3,0.35,0.4,0.3648293963254593,0.3463878047105459,0.07457775828032463,0.07723664960802712,0.21970357730289197
8,3e-05,256,3,0.35,0.5,0.34431323803604724,0.3201787933744326,0.09235936188077246,0.09616223477702505,0.21833629995840986
16,2e-05,128,3,0.3,0.4,0.2942097026604069,0.27846621411364614,0.06576475009394964,0.0657939144075972,0.1799872263771783
16,2e-05,128,3,0.3,0.5,0.29528795811518327,0.27891709978192314,0.0813782991202346,0.08358736635980397,0.18833312861770893
16,2e-05,128,3,0.35,0.4,0.2942097026604069,0.27846621411364614,0.06676669167291822,0.06634558653760567,0.18048819716666256
16,2e-05,128,3,0.35,0.5,0.30096051227321235,0.28396488731253167,0.07407407407407407,0.07704202796898843,0.1875172931736432
16,2e-05,256,3,0.3,0.4,0.2942097026604069,0.27846621411364614,0.06693637366678926,0.06603607633734894,0.1805730381635981
16,2e-05,256,3,0.3,0.5,0.2942097026604069,0.27846621411364614,0.07792207792207792,0.08379540384119248,0.18606589029124243
16,2e-05,256,3,0.35,0.4,0.2945169712793734,0.2785893383922149,0.06618181818181817,0.06526013926098438,0.18034939473059577
16,2e-05,256,3,0.35,0.5,0.2945169712793734,0.27867115157808015,0.06132075471698113,0.07047699030107363,0.17791886299817725
16,3e-05,128,3,0.3,0.4,0.29762532981530343,0.2805367091349389,0.06888633754305395,0.06793445708501976,0.1832558336791787
16,3e-05,128,3,0.3,0.5,0.30312837108953616,0.2830858296839423,0.083710407239819,0.08360140080397276,0.19341938916467757
16,3e-05,128,3,0.35,0.4,0.32523148148148145,0.3040479959032151,0.06773756531836655,0.06819871888062962,0.196484523399924
16,3e-05,128,3,0.35,0.5,0.3016639828234031,0.28286010580964704,0.07066617592933383,0.07834669372916866,0.18616507937636848
16,3e-05,256,3,0.3,0.4,0.29482488238369053,0.27876274235483844,0.06713984270093996,0.06732713930811399,0.18098236254231526
16,3e-05,256,3,0.3,0.5,0.29436325678496866,0.27855313284463273,0.0728807057920982,0.06776700397886751,0.18362198128853344
16,3e-05,256,3,0.35,0.4,0.3047722342733189,0.28776505426365023,0.0688204932135347,0.06882946399192519,0.18679636374342679
16,3e-05,256,3,0.35,0.5,0.3035230352303523,0.2831954992346965,0.07385079125847777,0.08152184987143174,0.18868691324441503
